epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,4540.75,2.03592,1.06269,0.921,0.61411,0.44774,0.47541,0.16704,3.01168,2.83062,0.92747,0.0002674,0.0002674,0.0002674
76,4601.26,2.03045,1.06262,0.9225,0.61463,0.44738,0.47513,0.16672,3.01287,2.8293,0.92795,0.0002575,0.0002575,0.0002575
77,4661.67,2.03848,1.06482,0.91917,0.61402,0.44736,0.47493,0.16658,3.01926,2.83341,0.92823,0.0002476,0.0002476,0.0002476
78,4722.14,2.03774,1.06452,0.91816,0.61285,0.44761,0.47466,0.16677,3.01922,2.8295,0.92828,0.0002377,0.0002377,0.0002377
79,4781.58,2.02491,1.05442,0.91794,0.61254,0.44788,0.47469,0.1668,3.01972,2.82538,0.92837,0.0002278,0.0002278,0.0002278
80,4842.21,2.02166,1.05177,0.91881,0.61277,0.44774,0.47444,0.16678,3.01725,2.82286,0.92809,0.0002179,0.0002179,0.0002179
81,4901.46,2.0247,1.05068,0.91761,0.61137,0.44784,0.47426,0.16672,3.01911,2.8211,0.92806,0.000208,0.000208,0.000208
82,4963.02,2.01142,1.04658,0.9178,0.61142,0.44762,0.47414,0.16642,3.02107,2.82206,0.92801,0.0001981,0.0001981,0.0001981
83,5022.17,2.0192,1.04881,0.91636,0.6106,0.448,0.47411,0.16626,3.02381,2.82382,0.92816,0.0001882,0.0001882,0.0001882
84,5083.26,2.02272,1.04808,0.91719,0.61046,0.44792,0.47401,0.16624,3.02566,2.82421,0.9283,0.0001783,0.0001783,0.0001783
85,5143.16,2.0105,1.04648,0.91687,0.61033,0.44814,0.47406,0.16614,3.02697,2.82622,0.92839,0.0001684,0.0001684,0.0001684
86,5198.87,1.79946,0.9108,0.92494,0.61015,0.4478,0.47353,0.1659,3.02835,2.82229,0.92851,0.0001585,0.0001585,0.0001585
87,5253.26,1.77507,0.90026,0.9226,0.61009,0.4475,0.47274,0.16575,3.02745,2.82243,0.9286,0.0001486,0.0001486,0.0001486
88,5306.43,1.77653,0.89632,0.92087,0.61184,0.44675,0.47281,0.16568,3.02849,2.8244,0.92865,0.0001387,0.0001387,0.0001387
89,5360.66,1.767,0.89057,0.92159,0.61217,0.44592,0.47249,0.16542,3.02745,2.82518,0.92865,0.0001288,0.0001288,0.0001288
90,5415.8,1.75807,0.88484,0.91872,0.61219,0.44487,0.47192,0.16515,3.02758,2.82842,0.92871,0.0001189,0.0001189,0.0001189
91,5471.82,1.75674,0.88268,0.91942,0.61319,0.44339,0.47165,0.165,3.02819,2.83233,0.92873,0.000109,0.000109,0.000109
92,5527.76,1.75566,0.88262,0.91902,0.61248,0.44301,0.47109,0.16494,3.02735,2.83621,0.92864,9.91e-05,9.91e-05,9.91e-05
93,5582.9,1.74857,0.87969,0.9171,0.61114,0.44344,0.47073,0.16474,3.02666,2.84128,0.92869,8.92e-05,8.92e-05,8.92e-05
94,5638.22,1.74778,0.87826,0.91704,0.61077,0.44269,0.47043,0.16459,3.02584,2.84629,0.9286,7.93e-05,7.93e-05,7.93e-05
95,5692.84,1.74029,0.87482,0.917,0.61097,0.44249,0.47003,0.16453,3.02499,2.85228,0.92854,6.94e-05,6.94e-05,6.94e-05
96,5746.47,1.74123,0.87337,0.91717,0.61161,0.44196,0.46973,0.1643,3.02458,2.85755,0.92856,5.95e-05,5.95e-05,5.95e-05
97,5801.97,1.74421,0.87668,0.91554,0.61152,0.44142,0.46959,0.16428,3.02589,2.86477,0.92861,4.96e-05,4.96e-05,4.96e-05
98,5858.45,1.74685,0.87827,0.91392,0.61172,0.44126,0.46946,0.16408,3.02409,2.87121,0.92858,3.97e-05,3.97e-05,3.97e-05
99,5914.36,1.7335,0.86981,0.91493,0.61253,0.44065,0.46903,0.16396,3.02479,2.8763,0.92865,2.98e-05,2.98e-05,2.98e-05
100,5967.25,1.73512,0.87065,0.91422,0.61146,0.44064,0.46882,0.1638,3.02543,2.88181,0.92869,1.99e-05,1.99e-05,1.99e-05
